GlobalId,IFC_Class,Name,ObjectType,Tag,Primary_Material,Property_Count
2sHNDMWzz28eoJNT747fzh,IfcBeam,PIPE,SHS100*100*3.2,X-0(?),STEEL/SS400,17
0we4DpeFvEeerb5syXzvRx,IfcBeam,PIPE,SHS100*100*3.2,X-0(?),STEEL/SS400,17
2U3uLf7cHEVRNSbOszDmg$,IfcBeam,PIPE,SHS100*100*3.2,X-0(?),STEEL/SS400,17
0b68sPlEH3uOMv$iCIjXfz,IfcBeam,PIPE,SHS100*100*3.2,X-0(?),STEEL/SS400,17
1SjYL7TQTA9BTc9I8gm54R,IfcBeam,PIPE,SHS100*100*3.2,X-0(?),STEEL/SS400,17
20jRzu_994mBoecVKeouW0,IfcBeam,PIPE,SHS100*100*3.2,X-0(?),STEEL/SS400,17
0Li6CaOInB9AMEfEGQRvxz,IfcBeam,Z25024,ZZ254-2.4-21-74-21-79,ID15b06324-612c-4b24-a58e-a4e41a6f9efd,STEEL/SS400,17
10GCXIG592TfL9N_fhk6ib,IfcBeam,Z25024,ZZ254-2.4-21-74-21-79,ID4040c852-4052-4276-9549-5fea6bb86b25,STEEL/SS400,17
0rILP9IiH6Ee7CgXH8EQ_B,IfcBeam,Z25024,ZZ254-2.4-21-74-21-79,ID35495649-4ac4-463a-81cc-aa144839af8b,STEEL/SS400,17
1Lry$hcxrD5fMQbfUx1y1v,IfcBeam,Z25024,ZZ254-2.4-21-74-21-79,ID55d7cfeb-9bbd-4d16-959a-9697bb07c079,STEEL/SS400,17
31LNbnqzv8nPW3pOFmjHt5,IfcBeam,Z25024,ZZ254-2.4-21-74-21-79,IDc1557971-d3de-48c5-9803-cd83f0b51dc5,STEEL/SS400,17
3CgGfbnlX7cuOEGd6vuOyi,IfcBeam,BEAM,RHS100*50*3.2,IDcca90a65-c6f8-479b-860e-4271b9e18f2c,STEEL/SS400,17
15X7h4ern1R82UbJBYhEaj,IfcBeam,BEAM,RHS100*50*3.2,ID45847ac4-a35c-416c-809e-9532e2ace92d,STEEL/SS400,17
0MTjuUNVLA7gpV8$92UwUP,IfcBeam,BEAM,SHS100*100*3.2,B-0(?),STEEL/SS400,17
2x5z2Hkhr27uFaDv22IWbx,IfcBeam,ANCHOR ROD,D12,z-0(?),STEEL/SS400,17
2cuJ1NXmD6Zfmr2YWBCKec,IfcBeam,ANCHOR ROD,D12,z-0(?),STEEL/SS400,17
0CTLsmpjb4EQE_oFbh12HG,IfcBeam,ANCHOR ROD,D12,z-0(?),STEEL/SS400,17
385qZxHbn78g85b17W6TaD,IfcBeam,ANCHOR ROD,D12,z-0(?),STEEL/SS400,17
0nQclwmF5DcgrkLMjgSmLS,IfcBeam,Z25024,ZZ254-2.4-21-74-21-79,ID316a6bfa-c0f1-4d9a-ad6e-556b6a73055c,STEEL/SS400,17
3W5UWtQ7DCTxpZ5OEKUtyi,IfcBeam,Z25024,ZZ254-2.4-21-74-21-79,IDe015e837-6873-4c77-bce3-1583947b7f2c,STEEL/SS400,17
23Dm4BlSz4iPySvWNQCKkl,IfcBeam,BEAM,H-300X300X10X15,B-0(?),STEEL/SS400,17
1nN1bd8bj3Ah_1_poWARBK,IfcBeam,BEAM,H-300X300X10X15,B-0(?),STEEL/SS400,17
2jskALO1P3PhDxvmy7yuCP,IfcBeam,BEAM,H-300X300X10X15,B-0(?),STEEL/SS400,17
3yydETucX1sA6e5XQMRhmw,IfcBeam,BEAM,H-300X300X10X15,B-0(?),STEEL/SS400,17
0zTKnXNjHCu8PrmUFYcJeK,IfcBeam,BEAM,H-300X300X10X15,B-0(?),STEEL/SS400,17
3befPADeL9GgLQV7GZsDyx,IfcBeam,BEAM,H-300X300X10X15,B-0(?),STEEL/SS400,17
1w68u0DGTAAfWUZRVU_348,IfcBeam,Z25024,ZZ254-2.4-21-74-21-79,ID7a188e00-3507-4a2a-981e-8db7def83108,STEEL/SS400,17
0UwEjoeOP2vOJE6qe_GT77,IfcBeam,Z25024,ZZ254-2.4-21-74-21-79,ID1ee8eb72-a186-42e5-84ce-1b4a3e41d1c7,STEEL/SS400,17
0Lw0PwvLfCyf6maSUTvNdr,IfcBeam,Z25024,ZZ254-2.4-21-74-21-79,ID15e8067a-e55a-4cf2-91b0-91c79de579f5,STEEL/SS400,17
1KkQeotH53zBXJQ7nsUZ2x,IfcBeam,PURLIN,ZZ152-1.5-16-61-16-65,ID54b9aa32-dd11-43f4-b853-687c767a30bb,STEEL/SS400,17
0OXQP9kDX6bxTyzYA9sgxp,IfcBeam,BEAM,SHS100*100*3.2,ID1885a649-b8d8-4697-b77c-f62289daaef3,STEEL/SS400,17
152gFTG$D78Ol5Bgwq0pmU,IfcBeam,BEAM,H-500X200X10X16,4H2-2,STEEL/SM520,17
3FbkazPP92xBvhNEW9chZ0,IfcBeam,BEAM,H-500X200X10X16,4H2-1,STEEL/SM520,17
20Y46kbNH0qfCU0g_zatYR,IfcBeam,ANCHOR ROD,D12,z-0(?),STEEL/SS400,17
2dJBRL65b5oQPj_906lqQA,IfcBeam,ANCHOR ROD,D12,z-0(?),STEEL/SS400,17
04O1J_JKr4eBKDQ8rmlM6$,IfcBeam,ANCHOR ROD,D12,z-0(?),STEEL/SS400,17
0QNH79uZT0SRB5xxV_OPmE,IfcBeam,ANCHOR ROD,D12,z-0(?),STEEL/SS400,17
3gRQx8O1LBYPTrWdwFcj0r,IfcBeam,PLATE,PL6x170,1SD-3,STEEL/SS400,17
2LPgPhtK1CwR0$X7q8jYzu,IfcBeam,ANCHOR ROD,D12,z-0(?),STEEL/SS400,17
2uP5vF0W11UPInv0axZPDx,IfcBeam,ANCHOR ROD,D12,z-0(?),STEEL/SS400,17
1bBlRdrFX7RRQMVT8VsspF,IfcBeam,ANCHOR ROD,D12,z-0(?),STEEL/SS400,17
2$cxl4NZv9CeUfdkSoMtpo,IfcBeam,ANCHOR ROD,D12,z-0(?),STEEL/SS400,17
2cCzCP2frDuvo1yAcacwQf,IfcBeam,PLATE,PL6x200,1SD-3,STEEL/SS400,17
2GFbJqrLD5uxokPwp30sfQ,IfcBeam,ANCHOR ROD,D12,z-0(?),STEEL/SS400,17
02BxLEnbv1C8EYlIDnCUTk,IfcBeam,ANCHOR ROD,D12,z-0(?),STEEL/SS400,17
2xw3PH$vT1IBEznw2cv4d8,IfcBeam,ANCHOR ROD,D12,z-0(?),STEEL/SS400,17
3oL8DSveH1NP7fi2fcuH3s,IfcBeam,ANCHOR ROD,D12,z-0(?),STEEL/SS400,17
3c9AZfzxf9lA3WPg6kStRk,IfcBeam,PLATE,PL6x200,1SD-3,STEEL/SS400,17
15BhBSHXP0W81blybbhI__,IfcBeam,DUMMY,ROD9,ID452eb2dc-4616-4080-8065-bfc965ad2fbe,STEEL/SD40,17
31Gw8p19HD4vjnIm2gsAur,IfcBeam,DUMMY,ROD9,IDc143a233-0494-4d13-9b71-4b00aad8ae35,STEEL/SD40,17
0h29rO_ZP96fraN$b1DrsM,IfcBeam,Z25024,ZZ254-2.4-21-74-21-79,ID2b089d58-fa36-491a-9d64-5ff941375d96,STEEL/SS400,17
2B3h_ihdX8Yx$stJp0oGC9,IfcBeam,Z25024,ZZ254-2.4-18-79,ID8b0ebfac-ae78-488b-bff6-dd3cc0c90309,STEEL/SS400,17
0b6hdSWsv3mwJJVZ9wpjOw,IfcBeam,PURLIN,ZZ152-1.5-16-61-16-65,ID251ab9dc-836e-43c3-a4d3-7e327aced63a,STEEL/SS400,17
0fyP7AgFX3sx7HIqBpEe8M,IfcBeam,PURLIN,ZZ152-1.5-16-61-16-65,ID29f191ca-a8f8-43db-b1d1-4b42f33a8216,STEEL/SS400,17
